News Title,Publisher name,Image url,Publisher image url,Publisher rectangle url,Updated,Link
Best smartphones under RM600 (Dec 2022) | SoyaCincau’s Best Budget Buys,SoyaCincau,https://image.luminews.my/kk6s29dcb27bwr3v2yz6e9q9r6du,https://image.luminews.my/1gf54h7spaulkudx5tk7xo11ipsx,https://image.luminews.my/dlz35jbg62dvqpqebz04s38n55k8,4 minutes ago,https://soyacincau.com/2023/01/09/best-smartphones-under-rm600-dec-2022-soyacincaus-best-budget-buys/
Tian Chua says PKR did not handle his sacking professionally,New Straits Times,https://image.luminews.my/s799yfr7vbdp7kb0u793n9sg8qti,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,9 minutes ago,https://www.nst.com.my/news/politics/2023/01/868575/tian-chua-says-pkr-did-not-handle-his-sacking-professionally
PM Anwar Ibrahim accorded official welcome by Indonesian president,Sinar Daily,https://image.luminews.my/hznkbpdb2glvvgcfislczws24tgw,https://image.luminews.my/4pzezu81wj0vw6wudfwelgkjdtzu,https://image.luminews.my/x3ftcyp5wazqvgxg615x64rpfxyl,12 minutes ago,https://www.sinardaily.my/article/187954/malaysia/national/pm-anwar-ibrahim-accorded-official-welcome-by-indonesian-president
"The hotel prices in Mecca and Medina are beyond our control, says minister",Sinar Daily,https://image.luminews.my/5cruyd61u5eh4vuudvxje9tnfmcy,https://image.luminews.my/4pzezu81wj0vw6wudfwelgkjdtzu,https://image.luminews.my/x3ftcyp5wazqvgxg615x64rpfxyl,17 minutes ago,https://www.sinardaily.my/article/187952/malaysia/national/the-hotel-prices-in-mecca-and-medina-are-beyond-our-control-says-minister
Johoreans urged to get second booster - MB,Sinar Daily,https://image.luminews.my/nv7meri5xaaqcurrmdwt607nsq3v,https://image.luminews.my/4pzezu81wj0vw6wudfwelgkjdtzu,https://image.luminews.my/x3ftcyp5wazqvgxg615x64rpfxyl,17 minutes ago,https://www.sinardaily.my/article/187953/malaysia/national/johoreans-urged-to-get-second-booster---mb
"Delhi fog delays flights, cold wave closes schools",FMT News,https://image.luminews.my/xov0mmxm0u4m9eaat7ufu3bd5nm7,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,18 minutes ago,https://www.freemalaysiatoday.com/category/world/2023/01/09/delhi-fog-delays-flights-cold-wave-closes-schools/
"Base judgments on law, not to seek popularity, CJ reminds judges",FMT News,https://image.luminews.my/dgfcijed0atfuyfvhqugsic86xd1,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,21 minutes ago,https://www.freemalaysiatoday.com/category/nation/2023/01/09/base-judgments-on-law-not-to-seek-popularity-cj-reminds-judges/
Aviation sector set for profitability in 2023,FMT News,https://image.luminews.my/44h0grx3mb5tijsyxis4pycaln7w,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,23 minutes ago,https://www.freemalaysiatoday.com/category/business/2023/01/09/aviation-sector-set-for-profitability-in-2023/
Electric cars: Chinese Tesla rivals stand to benefit as budget-cautious consumers opt for cheaper models in 2023,South China Morning Post,https://image.luminews.my/ce97ag2nw5hdnc4wycsilw4lp0hv,https://image.luminews.my/c1tb5x8fn5j5brchdqsuv6j5x6ta,https://image.luminews.my/acu9yvbwmw6sfidwnyokt3n5t5rl,23 minutes ago,https://www.scmp.com/business/china-business/article/3206069/electric-cars-chinese-tesla-rivals-stand-benefit-budget-cautious-consumers-opt-cheaper-models-2023?utm_source=rss_feed
"Microsoft Might Be Bringing Viral AI Chatbot ChatGPT to Word, PowerPoint, and Excel",Mashable Southeast Asia,https://image.luminews.my/qhodpppskglrwt3djmnjde1gcrg6,https://image.luminews.my/plq0xzaw5hl1rcxy3kpkcbmuwg30,https://image.luminews.my/5yb77nb9c8pgdi0hdoio2m5nm9np,24 minutes ago,https://sea.mashable.com/tech/22234/microsoft-might-be-bringing-viral-ai-chatbot-chatgpt-to-word-powerpoint-and-excel
