News Title,Publisher name,Image url,Publisher image url,Publisher rectangle url,Updated,Link
Tian Chua says PKR did not handle his sacking professionally,New Straits Times,https://image.luminews.my/s799yfr7vbdp7kb0u793n9sg8qti,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,8 minutes ago,https://www.nst.com.my/news/politics/2023/01/868575/tian-chua-says-pkr-did-not-handle-his-sacking-professionally
PM Anwar Ibrahim accorded official welcome by Indonesian president,Sinar Daily,https://image.luminews.my/hznkbpdb2glvvgcfislczws24tgw,https://image.luminews.my/4pzezu81wj0vw6wudfwelgkjdtzu,https://image.luminews.my/x3ftcyp5wazqvgxg615x64rpfxyl,10 minutes ago,https://www.sinardaily.my/article/187954/malaysia/national/pm-anwar-ibrahim-accorded-official-welcome-by-indonesian-president
"The hotel prices in Mecca and Medina are beyond our control, says minister",Sinar Daily,https://image.luminews.my/5cruyd61u5eh4vuudvxje9tnfmcy,https://image.luminews.my/4pzezu81wj0vw6wudfwelgkjdtzu,https://image.luminews.my/x3ftcyp5wazqvgxg615x64rpfxyl,15 minutes ago,https://www.sinardaily.my/article/187952/malaysia/national/the-hotel-prices-in-mecca-and-medina-are-beyond-our-control-says-minister
Johoreans urged to get second booster - MB,Sinar Daily,https://image.luminews.my/nv7meri5xaaqcurrmdwt607nsq3v,https://image.luminews.my/4pzezu81wj0vw6wudfwelgkjdtzu,https://image.luminews.my/x3ftcyp5wazqvgxg615x64rpfxyl,15 minutes ago,https://www.sinardaily.my/article/187953/malaysia/national/johoreans-urged-to-get-second-booster---mb
"Base judgments on law, not to seek popularity, CJ reminds judges",FMT News,https://image.luminews.my/dgfcijed0atfuyfvhqugsic86xd1,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,19 minutes ago,https://www.freemalaysiatoday.com/category/nation/2023/01/09/base-judgments-on-law-not-to-seek-popularity-cj-reminds-judges/
"Anwar told me to help PH in upcoming state polls, says Maszlee",FMT News,https://image.luminews.my/v0tcmvzkza70my4ztyb7de17zouf,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,28 minutes ago,https://www.freemalaysiatoday.com/category/nation/2023/01/09/anwar-told-me-to-help-ph-in-upcoming-state-polls-says-maszlee/
[Watch] Girl Shamed For Calling Charles & Keith Bag A Luxury Brand Talks About Privilege,The Rakyat Post,https://image.luminews.my/7eltjnxtcqmgknr89vqjo0hz259e,https://image.luminews.my/fyd6tnm764q1b7w39z2fh10yl8nu,https://image.luminews.my/dcjibihy3jn5baph5jnuzvvuipws,29 minutes ago,https://www.therakyatpost.com/news/2023/01/09/watch-girl-shamed-for-calling-charles-keith-bag-a-luxury-brand-talks-about-privilege/
PM Anwar Ibrahim accorded official welcome by Indonesian President,The Malaysian Reserve,https://image.luminews.my/7zt8l2hbwqn0ezg7e1or38rh0mbf,https://image.luminews.my/r0umhz9dkk0q9nrcp5izrarl08k9,https://image.luminews.my/nv3vj8tzhixqzakuxyz9z1tw3o4z,36 minutes ago,https://themalaysianreserve.com/2023/01/09/pm-anwar-ibrahim-accorded-official-welcome-by-indonesian-president/
Give road safety attention as urgent as Covid-19: UN special envoy tells govt,The Vibes,https://image.luminews.my/3u4rbwv80rvfqhx1hspz4jx5wwks,https://image.luminews.my/6s8zdom3g1ybn8psl194bno7sd5n,https://image.luminews.my/t7nf0vxw9xvmphhcy6y9klji1vkk,37 minutes ago,https://www.thevibes.com/articles/news/82322/give-road-safety-attention-as-urgent-as-covid-19-un-special-envoy-tells-govt
"Prasarana to spend RM2.8bil to improve train, bus services",FMT News,https://image.luminews.my/qdjjpiu6syxnzh66dyadk127vxa9,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,40 minutes ago,https://www.freemalaysiatoday.com/category/nation/2023/01/09/prasarana-to-spend-rm2-8bil-to-improve-train-bus-services/
Dredging works near Kuala Perlis jetty terminal to delay for another four months,New Straits Times,https://image.luminews.my/8ki1frj4r06wzdl135gopax3vqi7,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,46 minutes ago,https://www.nst.com.my/news/nation/2023/01/868571/dredging-works-near-kuala-perlis-jetty-terminal-delay-another-four-months
It is better to postpone Umrah than to go into debt,Sinar Daily,https://image.luminews.my/zjfn2clkk430em6mj2pi4gyv5tdb,https://image.luminews.my/4pzezu81wj0vw6wudfwelgkjdtzu,https://image.luminews.my/x3ftcyp5wazqvgxg615x64rpfxyl,46 minutes ago,https://www.sinardaily.my/article/187949/malaysia/national/it-is-better-to-postpone-umrah-than-to-go-into-debt
Malaysia to raise umrah package price increase issue with Saudi Arabian govt,The Malaysian Reserve,https://image.luminews.my/grxbb0svmqmel5mtgi2b31izxvdd,https://image.luminews.my/r0umhz9dkk0q9nrcp5izrarl08k9,https://image.luminews.my/nv3vj8tzhixqzakuxyz9z1tw3o4z,49 minutes ago,https://themalaysianreserve.com/2023/01/09/malaysia-to-raise-umrah-package-price-increase-issue-with-saudi-arabian-govt/
Chung Hua Primary School No. 5 to hold e-waste campaign for charity,The Borneo Post,https://image.luminews.my/z97grqgp9jmimqxge5uws8ho48kr,https://image.luminews.my/ko52gau8d5hsnipyc1g9tu8ibox4,https://image.luminews.my/dj1u667yq78wjhqr5mgu8vja7dbw,59 minutes ago,https://www.theborneopost.com/2023/01/09/chung-hua-primary-school-no-5-to-hold-e-waste-campaign-for-charity/
"Sibuti man in Miri fined RM2,000 for drug abuse",The Borneo Post,https://image.luminews.my/fqj8jn7vio0hqy1pm11zkp4ahjof,https://image.luminews.my/ko52gau8d5hsnipyc1g9tu8ibox4,https://image.luminews.my/dj1u667yq78wjhqr5mgu8vja7dbw,1 hour ago,https://www.theborneopost.com/2023/01/09/sibuti-man-in-miri-fined-rm2000-for-drug-abuse/
"Ex-NGO chairman, treasurer remanded to assist false claim probe",The Malaysian Reserve,https://image.luminews.my/1efmqp0lasrp61scasd99y8xot1n,https://image.luminews.my/r0umhz9dkk0q9nrcp5izrarl08k9,https://image.luminews.my/nv3vj8tzhixqzakuxyz9z1tw3o4z,1 hour ago,https://themalaysianreserve.com/2023/01/09/ex-ngo-chairman-treasurer-remanded-to-assist-false-claim-probe/
[VIDEO] Grandma Gets Red Carpet Welcome From Family After Being Separated For 3 Years,SAYS,https://image.luminews.my/9hzo47ipwegqnxn9gh2vafydg31d,https://image.luminews.my/ka0k8qfpbza9l2b1zr6pnveed7qe,https://image.luminews.my/lemd96w8l5h435lg4e9z4ecndeda,1 hour ago,https://says.com/my/news/grandmother-red-carpet-welcome-separated-family-3-years
"Prasarana allocated RM2.8b to improve train, bus services",The Malaysian Reserve,https://image.luminews.my/zafbovekf3np9l3va03qh9w4bhcy,https://image.luminews.my/r0umhz9dkk0q9nrcp5izrarl08k9,https://image.luminews.my/nv3vj8tzhixqzakuxyz9z1tw3o4z,1 hour ago,https://themalaysianreserve.com/2023/01/09/prasarana-allocated-rm2-8b-to-improve-train-bus-services/
Taylor Swift’s Cat Is Crowned World’s Third-Richest Pet With A Total Net Worth of $97 Million,JUICE,https://image.luminews.my/nk8gpy0ni2a650ziyrx7gtkzqfja,https://image.luminews.my/a40swmjch81tbkhkc7go8be58wvn,https://image.luminews.my/tz76zdlqi73qqvez5gm178s3uzch,1 hour ago,https://juiceonline.com/taylor-swifts-cat-crowned-worlds-third-richest-pet-net-worth-97-million/
Ewon to take over as Upko president at party convention,FMT News,https://image.luminews.my/ctgsf4xre5ij820u8i8fea5c527z,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,1 hour ago,https://www.freemalaysiatoday.com/category/nation/2023/01/09/ewon-to-take-over-as-upko-president-at-party-convention/
Anwar arrives at Istana Bogor for visit with Jokowi,The Vibes,https://image.luminews.my/8mo3wjaho80u62q7hgy3ixwfeyhq,https://image.luminews.my/6s8zdom3g1ybn8psl194bno7sd5n,https://image.luminews.my/t7nf0vxw9xvmphhcy6y9klji1vkk,1 hour ago,https://www.thevibes.com/articles/news/82320/anwar-arrives-at-istana-bogor-for-visit-with-jokowi
Foreign investors net buyers in Bursa’s opening week for 2023,The Malaysian Reserve,https://image.luminews.my/4obnfwqocul7spvh3gjnppg5wlsq,https://image.luminews.my/r0umhz9dkk0q9nrcp5izrarl08k9,https://image.luminews.my/nv3vj8tzhixqzakuxyz9z1tw3o4z,1 hour ago,https://themalaysianreserve.com/2023/01/09/foreign-investors-net-buyers-in-bursas-opening-week-for-2023/
